Latest: Time (s),Latest: Cuff Pressure (mm Hg)
0,0.603583662
0.01,0.603583662
0.02,0.603583662
0.03,0.603583662
0.04,0.603583662
0.05,0.603583662
0.06,0.603583662
0.07,0.603583662
0.08,0.603583662
0.09,0.603583662
0.1,0.603583662
0.11,0.603583662
0.12,0.603583662
0.13,0.603583662
0.14,0.603583662
0.15,0.603583662
0.16,0.603583662
0.17,0.603583662
0.18,0.603583662
0.19,0.603583662
0.2,0.603583662
0.21,0.603583662
0.22,0.603583662
0.23,0.603583662
0.24,0.603583662
0.25,0.603583662
0.26,0.603583662
0.27,0.603583662
0.28,0.603583662
0.29,0.603583662
0.3,0.603583662
0.31,0.603583662
0.32,0.603583662
0.33,0.603583662
0.34,0.603583662
0.35,0.603583662
0.36,0.603583662
0.37,0.603583662
0.38,0.603583662
0.39,0.603583662
0.4,0.603583662
0.41,0.603583662
0.42,0.603583662
0.43,0.603583662
0.44,0.603583662
0.45,0.603583662
0.46,0.603583662
0.47,0.603583662
0.48,0.603583662
0.49,0.603583662
0.5,0.603583662
0.51,0.603583662
0.52,0.603583662
0.53,0.603583662
0.54,0.603583662
0.55,0.603583662
0.56,0.603583662
0.57,0.603583662
0.58,0.603583662
0.59,0.603583662
0.6,0.603583662
0.61,1.215745687
0.62,1.827907711
0.63,2.512844242
0.64,3.330487226
0.65,4.148130209
0.66,5.239747806
0.67,6.536846361
0.68,7.765451263
0.69,8.994056165
0.7,10.35964837
0.71,11.65674693
0.72,12.88535183
0.73,14.24666319
0.74,15.26978713
0.75,15.68074905
0.76,15.88623001
0.77,15.68074905
0.78,15.13708068
0.79,14.17816953
0.8,12.81685818
0.81,12.2004153
0.82,11.58825328
0.83,11.17729136
0.84,10.83482309
0.85,10.22266107
0.86,9.948686455
0.87,9.062549819
0.88,9.062549819
0.89,8.788575206
0.9,8.583094247
0.91,8.450387794
0.92,8.244906835
0.93,8.176413182
0.94,8.107919529
0.95,7.902438569
0.96,7.765451263
0.97,7.69695761
0.98,7.559970304
0.99,7.422982998
1,7.358770198
1.01,7.290276545
1.02,7.221782892
1.03,7.084795586
1.04,7.084795586
1.05,7.016301933
1.06,6.879314626
1.07,6.810820973
1.08,6.810820973
1.09,6.74232732
1.1,6.673833667
1.11,6.605340014
1.12,6.536846361
1.13,6.536846361
1.14,6.468352708
1.15,6.468352708
1.16,6.468352708
1.17,6.536846361
1.18,6.605340014
1.19,6.810820973
1.2,7.084795586
1.21,7.491476651
1.22,7.970932222
1.23,8.583094247
1.24,9.405018084
1.25,10.42814203
1.26,11.58825328
1.27,12.95384548
1.28,14.31515684
1.29,15.95472366
1.3,17.52151598
1.31,19.36656376
1.32,20.93335607
1.33,22.23045462
1.34,22.64141654
1.35,23.80152779
1.36,22.02497367
1.37,22.91539116
1.38,22.29894828
1.39,21.6182926
1.4,20.93335607
1.41,19.91023213
1.42,19.2980701
1.43,18.68162722
1.44,18.20645251
1.45,17.59000963
1.46,17.18332856
1.47,16.8408603
1.48,16.49839203
1.49,16.22869827
1.5,15.88623001
1.51,15.6122554
1.52,15.26978713
1.53,14.11395673
1.54,13.77148847
1.55,13.77148847
1.56,13.49751386
1.57,13.2920329
1.58,11.86222789
1.59,11.17729136
1.6,11.24578501
1.61,11.24578501
1.62,11.17729136
1.63,11.04030405
1.64,10.9718104
1.65,10.9718104
1.66,10.90331675
1.67,10.83482309
1.68,10.70211664
1.69,10.63362299
1.7,10.56512933
1.71,10.49663568
1.72,10.42814203
1.73,10.35964837
1.74,10.35964837
1.75,10.35964837
1.76,10.35964837
1.77,10.29115472
1.78,10.35964837
1.79,10.49663568
1.8,10.90331675
1.81,11.45126597
1.82,12.33740261
1.83,13.56600751
1.84,15.13708068
1.85,17.04634126
1.86,19.36656376
1.87,21.68678625
1.88,24.0755024
1.89,26.46421856
1.9,28.98564116
1.91,31.44285097
1.92,33.83156712
1.93,35.94630866
1.94,37.38039452
1.95,37.85556924
1.96,37.44888817
1.97,36.49425788
1.98,35.26565298
1.99,33.90006077
2,33.08241779
2.01,32.26049395
2.02,31.64833192
2.03,31.16887635
2.04,30.62520798
2.05,30.14575241
2.06,29.807565
2.07,29.39660308
2.08,28.64745375
2.09,28.44197279
2.1,28.09950452
2.11,27.82552991
2.12,27.4873425
2.13,27.14487423
2.14,26.93939327
2.15,26.59692501
2.16,26.2587376
2.17,26.12175029
2.18,25.91626933
2.19,25.71078837
2.2,25.64229472
2.21,25.43681376
2.22,25.23561365
2.23,25.03013269
2.24,24.89314539
2.25,24.68766443
2.26,24.55067712
2.27,24.34519616
2.28,24.27670251
2.29,24.14399606
2.3,24.00700875
2.31,23.87002145
2.32,23.80152779
2.33,23.73303414
2.34,23.9385151
2.35,24.61917078
2.36,25.71078837
2.37,27.55583615
2.38,29.87605865
2.39,32.67145587
2.4,35.7408277
2.41,38.88297403
2.42,42.15782682
2.43,45.43267961
2.44,48.63903874
2.45,51.57142327
2.46,54.84627606
2.47,57.0980049
