"Latest: Time (s)","Latest: Cuff Pressure (mm Hg)","Latest: Mean Arterial Pressure (mm Hg)","Latest: Systolic Pressure (mm Hg)","Latest: Diastolic Pressure (mm Hg)","Latest: Oscillation Peaks (mm Hg)","Latest: Peak Detection (mm Hg)","Latest: Pulse Rate (BPM)"," : Mean - Cumulative (mm Hg)"," : Systolic - Cumulative (mm Hg)"," : Diastolic - Cumulative (mm Hg)"," : Data Collection Run"," : Pulse - Cumulative (bpm)"
0,1.62670760509,86.5759608485,118.648113907,68.9045983516,,,198.230088496,86.5759608485,118.648113907,68.9045983516,"Latest",198.230088496
0.01,1.42122664582,,,,,,,,,,,
0.02,1.62670760509,,,,,,,,,,,
0.03,1.42122664582,,,,,,,,,,,
0.04,1.62670760509,,,,,,,,,,,
0.05,1.42122664582,,,,,,,,,,,
0.06,1.62670760509,,,,,,,,,,,
0.07,1.42122664582,,,,,,,,,,,
0.08,1.62670760509,,,,,,,,,,,
0.09,1.42122664582,,,,,,,,,,,
0.1,1.62670760509,,,,,,,,,,,
0.11,1.42122664582,,,,,,,,,,,
0.12,1.62670760509,,,,,,,,,,,
0.13,1.42122664582,,,,,,,,,,,
0.14,1.62670760509,,,,,,,,,,,
0.15,1.42122664582,,,,,,,,,,,
0.16,1.62670760509,,,,,,,,,,,
0.17,1.42122664582,,,,,,,,,,,
0.18,1.62670760509,,,,,,,,,,,
0.19,1.42122664582,,,,,,,,,,,
0.2,1.62670760509,,,,,,,,,,,
0.21,1.42122664582,,,,,,,,,,,
0.22,1.62670760509,,,,,,,,,,,
0.23,1.42122664582,,,,,,,,,,,
0.24,1.62670760509,,,,,,,,,,,
0.25,1.42122664582,,,,,,,,,,,
0.26,1.62670760509,,,,,,,,,,,
0.27,1.42122664582,,,,,,,,,,,
0.28,1.62670760509,,,,,,,,,,,
0.29,1.42122664582,,,,,,,,,,,
0.3,1.62670760509,,,,,,,,,,,
0.31,1.42122664582,,,,,,,,,,,
0.32,1.62670760509,,,,,,,,,,,
0.33,1.42122664582,,,,,,,,,,,
0.34,1.62670760509,,,,,,,,,,,
0.35,1.42122664582,,,,,,,,,,,
0.36,1.62670760509,,,,,,,,,,,
0.37,1.42122664582,,,,,,,,,,,
0.38,1.558213952,,,,,,,,,,,
0.39,1.42122664582,,,,,,,,,,,
0.4,1.62670760509,,,,,,,,,,,
0.41,1.42122664582,,,,,,,,,,,
0.42,1.62670760509,,,,,,,,,,,
0.43,1.42122664582,,,,,,,,,,,
0.44,1.62670760509,,,,,,,,,,,
0.45,1.42122664582,,,,,,,,,,,
0.46,1.62670760509,,,,,,,,,,,
0.47,1.42122664582,,,,,,,,,,,
0.48,1.62670760509,,,,,,,,,,,
0.49,1.35273299273,,,,,,,,,,,
0.5,1.558213952,,,,,,,,,,,
0.51,1.42122664582,,,,,,,,,,,
0.52,1.62670760509,,,,,,,,,,,
0.53,1.35273299273,,,,,,,,,,,
0.54,1.62670760509,,,,,,,,,,,
0.55,1.42122664582,,,,,,,,,,,
0.56,1.558213952,,,,,,,,,,,
0.57,1.35273299273,,,,,,,,,,,
0.58,1.62670760509,,,,,,,,,,,
0.59,1.42122664582,,,,,,,,,,,
0.6,1.62670760509,,,,,,,,,,,
0.61,1.42122664582,,,,,,,,,,,
0.62,1.558213952,,,,,,,,,,,
0.63,1.42122664582,,,,,,,,,,,
0.64,1.558213952,,,,,,,,,,,
0.65,1.42122664582,,,,,,,,,,,
0.66,1.62670760509,,,,,,,,,,,
0.67,1.42122664582,,,,,,,,,,,
0.68,1.62670760509,,,,,,,,,,,
0.69,1.35273299273,,,,,,,,,,,
0.7,1.558213952,,,,,,,,,,,
0.71,1.35273299273,,,,,,,,,,,
0.72,1.558213952,,,,,,,,,,,
0.73,1.35273299273,,,,,,,,,,,
0.74,1.558213952,,,,,,,,,,,
0.75,1.28423933964,,,,,,,,,,,
0.76,1.558213952,,,,,,,,,,,
0.77,1.28423933964,,,,,,,,,,,
0.78,1.48972029891,,,,,,,,,,,
0.79,1.28423933964,,,,,,,,,,,
0.8,1.48972029891,,,,,,,,,,,
0.81,1.28423933964,,,,,,,,,,,
0.82,1.48972029891,,,,,,,,,,,
0.83,1.35273299273,,,,,,,,,,,
0.84,1.48972029891,,,,,,,,,,,
0.85,1.28423933964,,,,,,,,,,,
0.86,1.48972029891,,,,,,,,,,,
0.87,1.28423933964,,,,,,,,,,,
0.88,1.48972029891,,,,,,,,,,,
0.89,1.28423933964,,,,,,,,,,,
0.9,1.48972029891,,,,,,,,,,,
0.91,1.28423933964,,,,,,,,,,,
0.92,1.48972029891,,,,,,,,,,,
0.93,1.28423933964,,,,,,,,,,,
0.94,1.48972029891,,,,,,,,,,,
0.95,1.35273299273,,,,,,,,,,,
0.96,1.558213952,,,,,,,,,,,
0.97,1.35273299273,,,,,,,,,,,
0.98,1.62670760509,,,,,,,,,,,
0.99,1.48972029891,,,,,,,,,,,
1,1.82790771103,,,,,,,,,,,
1.01,1.89640136412,,,,,,,,,,,
1.02,2.44435058883,,,,,,,,,,,
1.03,2.85531250737,,,,,,,,,,,
1.04,3.7414491442,,,,,,,,,,,
1.05,4.21662386251,,,,,,,,,,,
1.06,5.17125415243,,,,,,,,,,,
1.07,5.92468433641,,,,,,,,,,,
1.08,7.15328923869,,,,,,,,,,,
1.09,8.10791952861,,,,,,,,,,,
1.1,9.8116991492,,,,,,,,,,,
1.11,11.1772913577,,,,,,,,,,,
1.12,13.0865519375,,,,,,,,,,,
1.13,14.7946124114,,,,,,,,,,,
1.14,16.7723666443,,,,,,,,,,,
1.15,18.6174144244,,,,,,,,,,,
1.16,20.4581813512,,,,,,,,,,,
1.17,21.8922672127,,,,,,,,,,,
1.18,23.6645404864,,,,,,,,,,,
1.19,24.6876644294,,,,,,,,,,,
1.2,24.0070087519,,,,,,,,,,,
1.21,18.274946159,,,,,,,,,,,
1.22,17.6585032812,,,,,,,,,,,
1.23,18.0694651997,,,,,,,,,,,
1.24,18.1379588528,,,,,,,,,,,
1.25,17.5900096281,,,,,,,,,,,
1.26,17.1833285629,,,,,,,,,,,
1.27,16.498392032,,,,,,,,,,,
1.28,16.1602046199,,,,,,,,,,,
1.29,15.2697871297,,,,,,,,,,,
1.3,15.0685870238,,,,,,,,,,,
1.31,14.5206377991,,,,,,,,,,,
1.32,14.2466631867,,,,,,,,,,,
1.33,13.8399821215,,,,,,,,,,,
1.34,13.7714884684,,,,,,,,,,,
1.35,13.429020203,,,,,,,,,,,
1.36,13.5660075091,,,,,,,,,,,
1.37,13.429020203,,,,,,,,,,,
1.38,13.6345011622,,,,,,,,,,,
1.39,13.2235392437,,,,,,,,,,,
1.4,13.1550455906,,,,,,,,,,,
1.41,12.6798708723,,,,,,,,,,,
1.42,12.6798708723,,,,,,,,,,,
1.43,12.3374026068,,,,,,,,,,,
